Question,Scaled_Bleu_Score
What are signs and study findings that would indicate follicular lymphoma has transformed to diffuse large B-cell lymphoma?,0.090494685462202
A patient with a history of heart failure now presents with newly diagnosed metastatic HER2+ breast cancer. What is her recommended first line of treatment and what additional information should be discussed with the patient given her history of heart failure?,0.09356431248941434
What does research currently say regarding the use of cryotherapy to prevent peripheral neuropathy in patients receiving paclitaxel?,0.06914099641383632
"A patient with Ewing sarcoma of the femur is due for restaging scans while on VDC/IE after undergoing surgery which included the placement of hardware. Should the clinician order a CT, MRI, PET/CT or a combination of these scans? What patient factors may influence the clinician's decision?",0.051950346831441334
In which cases would be considered appropiate to treat an acute appendicitis with just antibiotic treatment?,1.2656425299526174e-78
What is the prognosis of a case of triple negative ductal breast carcinoma?,0.10858180485278719
What are the possible therapeutic options for a inguinal hernia and which one has the best prognosis?,0.06970782997133504
What would be the ideal diet recommendations for a 53 year old male with acute renal failure and hepatic failure?,0.09341555386482345
"What are the possible causes of a 7 days old newborn with yellowish color, seizures and altered mental status?",0.03562384886392552
What are the main signs of Langerhans cell histiocytosis in children?,5.760078655183272e-79
What's the part of the brain related with short term memory?,0.07500245527905837
According to Freud what is called the most primitive part of the brain?,0.07418210567908987
Name 3 types of therapies for a patient.,0.025692758059883743
"A girl does not go on her periods for a month and is complaining that she feels tired most of the time and gets dizzy, Just recently she started vomiting especially in the morning. What do her symptoms suggest?",1.0638581151575014e-231
What is a bacteria?,0.10778793013419438
A child was brought into the hospital and she was having a high fever and showing signs of boils on her mouth. What would be the first step in identifying the type of bacteria that is responsible for boils?,0.15451817561634215
What diseases are caused by pathogenic bacteria?,0.03678150378061458
Which type of hearing loss do you expect an ex miner to have?,2.5667438380160566e-155
Can patients with unilateral hearing loss benefit from cochlear implant?,0.1497277324249351
A 3 month old baby was seen by an Audiologist.mom reported that he’s been pulling his ear a lot. The Audiologist did tympanommetry and got type B typos. What’s likely to be the problem?,0.02403913464595409
"With blood having different types of cells, why do you think blood is red?",0.06655509553196781
"In an emergency room, 3 people are wheeled in, in different states or conditions, one being hit on the head with a glass bottle, one with a bone sticking out of their leg and the other with a abnormally high temperature. According to the emergency scale, who will be first priority?",0.046443244485016945
"In every health facility there are certain health standards that need to be maintained, one being putting people first before your needs. A patient walks in as you are about to go on a lunch break, and complains about waiting over 5 hours to be attended to and feels their sugar levels(as a Diabetic) has dropped significantly and feels nauseous. What do you as a health worker do?",0.09192217753794969
What is the most important factors for Nurses in Intensive care unit to deliver proper care?,0.04097659818647568
If we update our curriculum for the intensive care unit nurses will it benefit for us?,0.017374255944219517
What is your opinion for Advanced Nurses Practitioner In ICU?,0.032965262432030434
How does a COVID infection relate to anxiety and depression in previously healthy individuals?,0.12567835575909
A patient with a retinal degeneration disease you've been treating for years approaches you after a sudden increase inquiring about regenerative medicine techniques being performed in Japan and asks if he can be treated with that therapy. What are the first steps to determining if that's a realistic possibility for the patient?,0.07171434967673611
"A 55 year old male patient describes the sudden appearance of a slight tremor and having noticed his handwriting getting smaller, what are the possible ways you'd find a diagnosis? ",0.04152239706550472
"Imagine a young man who frequently experiences extreme fatigue, joint pain, and a persistent butterfly-shaped rash across his face. He also notices recurrent mouth ulcers and sensitivity to sunlight. What is the most guiding symptom of a Lupus as a diagnose?",0.15484345441237773
What findings could be appear on the RxTx of the previous patient?,0.1210528974974056
"While administering tests for management of sarcoidosis, If immunoglobulins are negative, what differential diagnoses would you propose?",0.0297029968364944
"HIV is highly prevalent in Africa, suppose there are more black people in Africa compared to other ethnic groups, could this be genetic disposition?",0.08123243052877709
What is the sexually transmitted disease HPV?,0.06105601275793219
"If a patient comes to the clinic after obtaining a positive result in a PCR test for HPV-16, what would be the recommendations?",0.0601984349586085
"If a patient comes to the office for genital warts, what would be the treatment that would be given?",0.031328392313001704
"Is ""Ethics Dumping"" still a common practice in less developed countries? ",0.05356779886875004
"Imagine a world without Bioethics in Clinical Research, what would be the role of the human being in this scenario?",1.129160613258969e-78
What are the most encountered barriers in clinical research related to Bioethics?,0.04706287784978007
What herbal drugs are licensed for SARS-CoV-2 treatment?,0.10758706901123509
Provide research sources of in vitro analysis of antiviral abilities of Nigerian herbs against sars cov 2.,4.244711352009265e-155
Protein Load is know to inhibit the antiviral ability of chlorous acid. Why does bovine serum albumin enhance it's antiviral effect in vitro? ,0.10594581971373133
What is the treatment for patients with bacterial tonsillitis who are allergic to penicillin?,0.21557567915793258
What sign is observed in the barium esophagram in patients with achalasia?,0.10226958237053538
What are the cardinal symptoms of laryngotracheitis?,0.04660689419775137
What is the contraception method of election when a woman can't take estrogen?,0.06223985617882701
"A 6-month-old patient is taken to consult by his mother, who reports delayed growth in her son, as well as changes in the dentition, recurrent vomiting, uncoordinated movements, and difficult-to-control seizures. On physical examination, she is noted to have seborrheic skin, microcephaly, and a promiscuous jaw. Based on the clinical data presented by the patient, what syndrome does the patient present?",8.120546156106983e-232
"A 38-year-old woman who was traveling standing on a bus, supported by a vertical tube, when the bus hits head-on, she is projected forward without letting go of the tube, causing abduction and lateral rotation of the right shoulder. She presents very intense pain in the shoulder, with functional disability of the extremity. She is taken to the emergency department 1.5 hours after the accident, with his right arm next to her body, holding her forearm with his left hand. She is given immediate treatment and is immobilized for 3 weeks. Based on the mechanism of injury, the probable diagnosis in this patient is:",1.8682448376628916e-155
"During a squat, if the knees fall inwards which muscle are weak?",0.04599015568502657
If a patient's X ray has dark spots on the chest what does it mean?,9.664771739302323e-79
Describe treatment methods of congenital Talipes equinovarus.,0.06626592818749599
What are the most common injuries in childhood among Hispanic families?,0.06414352778937887
A 60 years old woman comes to the office asking for pain medication. She has a history of opioid addiction and uncontrolled high blood pressure. Under what circumstances I should referred her to the hospital? ,0.09650124214973403
"A 27 year old male comes to the office after finding an insect inside of his left ear canal. Legs are visible and it is alive, every time it moves it provokes pain to the patient. How should I remove the insect without harming my patient or the eardrum?",0.02590437991722214
How much tumor free margin should be left in a melanoma more than 6mm deep?,0.07333201644746788
What is the treatment of choice for a basal cell carcinoma located at the palpebral margin of the eye?,0.1620600927133058
"Suppose a 22 year old patient comes to the clinic with microcalcifications in both breasts, with family members diagnosed with breast cancer, at what age should a mastography be started?",4.678173931403068e-232
What kind of advice can I give to a parent with a child with vocal nodules?,0.08524744650791576
What classroom strategies are there for DLD?,0.03321088863702399
What kind of advice can I give to a parent with a child with ADHD and a speech disorder?,0.04159709671318932
What is the diagnostic criteria for Anorexia Nervosa?,0.0991412567359667
What is the evidence base for CBT for depression?,0.0823289714454865
"If you were supervising a clinical team, how would you work with a team member who was defensive about feedback?",0.04127104756913927
What is the condition that is associated with Carhartt’s Notch?,8.796377678215576e-232
What are the two types of hearing loss?,0.25717935222942656
A patient is suffering from vertigo and tinnitus. What would you advice them to do to alleviate the symptoms?,0.013275336256654089
Is there any difference in time of threatment of patients COVID+ who were using pulmonary rehabilitation and those who did not?,0.1192339184635464
Imagine you have a patient after hip surgery (14days passed) write me a rehabilitation plan for this patient.,0.02163102009267125
What is the treatment for blood vessel clogging?,0.09302035809571998
What do you think the future of image guided therapy is?,0.03898693665287417
How can AI better support image guided therapy procedures? What could be the approach or use of AI of heart treatment?,0.06990203396321958
What is the first step to do in a patient with a VF?,0.12987293870549732
Which surgery would be the best option for a patient with central stenosis that epidural injections failed?,0.09297704898469489
How to treat a patient with 80% of his body with 3rd grade burnings?,0.0454193835510006
A patient is allergic to the only medication suitable for curing them. What do you do?,9.526732138722306e-79
Do toxic chemicals become more or less toxic when they expire?,0.05921513890830572
What is the interaction between Anaerobyl and Alcohol on the human system?,0.05147915729059904
"New born to term. At minute 1, heart rate: 120 beats per minute, vigorous crying, pink color, limbs with good tone, slight expiratory groan. What APGAR score does this patient have?",0.05130516978809949
"7-year-old female, fever 38.2, cough with sputum, tonsillar hypertrophy, cervical adenopathies. Mention the best handling for this patient.",0.023835235939348304
Mention the clinical importance of the  tricarboxylic acid cycle and why medical students need to study it.,0.1642127619717366
"If the patient shows multiple symptoms indicating 3 diseases, how do we closely determine and eradicate the diseases?",0.04999625458349991
How can we reduce patient surgery backlog in Canada?,0.0685053684875435
"If a patient is allergic to a medicinal ingredient that is the only cure for their disease, how can we ensure patient safety during diagnosis and treatment?",0.08752497947227877
Is it possible to compound intrathecal methotrexat?,0.05033940070236744
"Suppose there is a 3 years old patient with asthma crisis management, history of severe asthma crisis. Is it recomended for them to be hospitalized?",0.13843200042774823
What's the best treatment option for an asthma crisis on a pediatric patient?,0.16891181710164938
"Suppose there is a 12 year old with suicide attempted, is it recommendable to do a psychiatrist intervention?",0.1516359976656821
Imagine we have a Patient Reported Outcome questionnaire that measures quality of life and has 3 different dimensions. What would be the best approach to analyzing the item adequacy of this instrument?,0.0746982011405635
Imagine we have a patient with a diagnosis of severe depression. What would be the best combination of treatments that could improve his mental health status?,0.06297067023212326
How the 3rd generation therapies in psychology an improvement compared to the previous ones?,0.03032865136591358
"56 year old, male patient, rushed to the ER for presenting symptoms such as: tachycardia, diaphoresis, dyspnea, and a strong pain on his chest that irradiates to his chin and left arm. What is the most likely diagnosis and what tests are essential for this patient?",0.2036219384041524
Which drug for cardiac insufficiency is contraindicated in a patient that has kidney failure? ,0.054796327195005344
"67 year old male, refers to present chest pain and dyspnea that appears when he walks 2 or 3 blocks, he has had this symptoms for 3 weeks so far, he has diabetes type 2 that was diagnosed 15 years ago and uses insulin to treat it, but does not follow his schedule and takes it whenever he remembers to, also had AIM 3 years ago. What is the diagnosis for this patient and mention 3 differential diagnosis?",0.05884320011357468
What legislation underpins assessment of children with disabilities for social care support?,0.0487804900896579
How should I engage with a non-verbal child to gather their views?,0.05627178635962851
Should buyers of antibiotics also be recommended protective drugs containing bacterial cultures?,0.09472659621966462
Should expectorant or antitussive syrup be recommended for a wet cough?,0.0752899823912373
What can severe pain in the right side of the belly button indicate?,0.06868477354009382
Sickle cells are characteristic from which kind of disease?,0.006178692146174988
"Patient with high level of glucose in fasting conditions but after the screening test does not show increased level of it, could they be considered diabetic?",0.05662021351555591
How can we treat infection caused by Neisseria gonorrhoeae?,0.07790513296037868
"Thinking that we want to design an experiment with 3 groups, in which we observe significant differences, what would be the appropriate number of animals that we need to use?",0.04118824519535763
"In your experience, what are the most appropriate treatments for a patient with sciatic nerve injury?",0.09683811055790839
What is your opinion on the spontaneous regeneration of axons in the peripheral nervous system?,0.089181498159781
Indicate the correct dosage range of ibuprofen for a child of age 9 and 32 kilos.,0.06666049525566173
"A patient has prescribed losartan and bisoprolol to treat their hypertension, however, they have developed an allergy to one of the excipients of bisoprolol. What is the correct course of action to take by the pharmacist?",0.0804112395055211
Design an algorithm of hypertension drugs to help the clinician make the best medication choice according to the patient and their health characteristics.,0.04236509227783493
"A counselor has a client who has come to counseling to process a particularly difficult relationship breakdown.  After numerous sessions the counsellor realises that they are counselling both people involved in the relationship breakup, thus there is a conflict of interest. What does the counselor do?",4.78097995013412e-155
What are the common approaches to coping with periods of acute dis-regulation?,0.08799846065699027
"A client who has a feeling that they have been abused in childhood, has no real memory of the abuse and struggles with emotional dis-regulation in adulthood, cannot form lasting bonds with people, is of a dissorganised attachment style, has come to therapy to work on understanding the abuse they may have experienced in childhood with the hope that this will make them better. What are the steps a therapist must take in providing a secure and safe environment for the client to begin to address their trauma?",0.04994375273284158
Teach me PCR in three sentences.,0.16777960954309953
"The prevalence of malaria in Africa is tied to its disease vector control, what are the possible potential options that can be explored in the eradication of malaria in Africa?",0.025501455575363638
"I am a new intern in the blood transfusion laboratory, please write a standard SOP for me for preparing a fresh frozen plasma.",0.09556634539649131
Should we inform patients that homeopathic medicines don't work?,0.05605009619828674
Why we do not check exact ingredients of dietary supplements?,0.11345047449417608
Patient comes everyday and buys OTC medicine with an ingredient that is addictive. What can I do?,1.1764998595149603e-78
When would you start antibiotic in a acute pharingitis?,1.3988755303203114e-78
What is the first radiological sign of fetal death?,9.622510185648421e-79
What is the initial treatment for anal fissures?,0.14879860439632767
"A patient who is a smoker has a lesion on his mouth that causes pain, could it be a carcinoma?",1.521647377011116e-78
What is the best anesthesia for diabetic patients?,1.6416925597619206e-78
How does smoking affect periodontal disease?,0.032118970499156706
How can a clinician confirm that a patient with a headache has subarachnoid hemorrhage ?,0.06558943989088868
When does a chronic lympocytic leukemia transform to a diffuse large b cell lymphoma?,0.054028443087128834
A 30 year old primigravid pregnant woman walks into the clinic complaining of intense contractions that last. How can a physician differentiate between true onset of labour and braxton hicks contractions?,0.08699631662231869
What are the most common translocations associated with chronic myeloid leukemia? ,0.07454259819046603
My child has been having easy bruising and fatigue for the past 6 months. Recently his labs came back and his total lymphocyte count was elevated. The diagnosis given to me by the doctor was acute lymphoblastic leukemia. What is it and what is the prognosis? ? ,0.16180210934675435
"Give that I'm 23 years old, smoking 12 cigarettes daily for the past three years, with history of dyslipidemia, which types of cancer am I most prone to get? ",1.3062336367442175e-78
What are signs of a patient experiencing sepsis?,0.04044591283521074
"If a patient comes in having shortness of breath, what are potential treatment options?",0.05967978538969763
"A patient comes in with shortness of breath and pulmonary oedema, what are the differental diagonosis?",0.016530860492664747
"How can we classify studies conducted by transgender people? As the gender they define themselves as or as a separate category, transgender people?",1.1250081304370818e-78
"A patient with early dementia. This person is being given all possible care and is living a happy life surrounded by family members who are helping him through the process. The problem is that the patient has made a provision in his living will that if at any time his dementia becomes limiting, he will request euthanasia. That moment will come, but this person is happy now. Should the decision he made when he was mentally fit be applied, or, taking into account that he is happy, should he be allowed to live longer?",0.11121868715893875
"A person who does not like working with people but is passionate about medicine. Knowing that he/she will not be happy practicing, is it worthwhile for him/her to finish such a difficult career just for vocation? ",0.06464747338371848
"A patient receiving treatment including cisplatin, paclitaxel, and pembrolizumab develops worsening shortness of breath one week after her third dose of treatment. What possible problems could she have developed and what should studies should be included in her initial workup?",0.03681170277419237
What is the impact of consultation duration in efficacy of health results obtained in the long term? Where can I find more information to help me gauge the impact of the amount of time spent with the patient in each consultation?,1.6782210862878168e-78
"When a patient is started on biologic medications, it is important to rule out latent infections like tuberculosis, and complete certain vaccination schemes. Can you compile which of these attitudes are recommended for each different biologic treatment used in rheumatology?",1.1632981225101761e-155
"In a 55 year-old patient whose cardiovascular risk factors are dislipidemia (assume a c-LDL of 150 mg/dL) and smoking (assume 20 cigarettes/day, for 20 years), if you could only choose one, which of the following would have a greater impact in reducing cardiovascular risk: smoking cessation, or starting atorvastatin 20 mg, once daily?",0.03338660620438146
How often should I brush and floss my teeth?,0.10323024870741185
Should you put bond when you do fissure sealants?,5.37084939327664e-155
Should you extract third molars prolifically?,0.09113745839289127
Which PPI should not be given with clopidogrel?,9.393556448185199e-79
When someone takes warfarin what are the vegetables that should be avoided?,0.1395728068631817
What are the side effects of ACEIs?,0.13756823179969632
Does the medical field require one to be consumed by drugs rather than holistic medicines?,0.1552320844577788
Do you think cognitive behavioural therapy can work for psychosis?,0.04960626273686355
How do you adapt cognitive stimulation therapy for individuals with a learning disability?,0.05059024170520752
Which books are the best for child and youth psychiatry?,0.06102567190408566
What is known about the switch that occurs between patients with latent HIV and active infection?,0.047593946681638785
What has caused the recent stock problems in HRT?,0.0557845961556173
How long will it take for a child to speak with therapy?,0.12452152490494833
What would be the best methodological approach to study microRNAs as therapeutic targets in HIV patients?,0.059784109963367874
Why do people look down on healthcare workers?,0.11770088287095344
What's the best treatment for fibromyalgia?,0.1288932430435188
What is the mechanism of action of the drug warfarin and how does it interact with other medications?,0.08766365078943578
What is your opinion on euthanasia?,1.1351753797311987e-78
What are some early detection methods for Glomus tympanum?,0.06640016340390684
What the exact differences are between the male and the female brain?,0.04502085543503328
A person who has been unemployed for 20 years due to mental health problems would like to get a job. What support might you offer?,0.03265226357700916
"What are the differential diagnosis for a patient who presents with fever, respiratory distress and high blood pressure?",0.13263346472968934
Which options for therapy are there for ADHD in children?,1.4058228788127205e-78
How can you manage your patient expectations?,6.856943752920413e-79
What cardiac condition affects neonates born to diabetic mothers?,0.03987874594981286
What is known about DNA methylation profiles in patients with latent HIV-1 or with an active infection?,1.1752176967601758e-78
Does foot ulcer need a diet change rather than using iodine based medicines for it?,1.2428666493753403e-78
A patient presents to your clinic with a first episode psychosis. What are the NICE recommended treatments for this issue?,0.05008903128508279
How would you deal with a potentially abusive coworker?,0.010074402163326559
"In the context of immune related blistering skin disorders, what are the potential causes for a false positive skin antibody on a blood test?",0.1669458558765393
What are the most effective therapeutic interventions for treating depression?,0.23373378687650165
How do you approach a doctor as a nurse if you think he administered a wrong medication for the symptoms of the patient? ,0.037701904634589126
How do I explain the difference between a language disorder and a language delay?,0.04931870012093735
"In status epilepticus after 1st and 2nd line treatment with benzodiazepines, should I load the patient with phenytoin or levetiracetam?",0.009018763163937528
Can nurses in Italy prescribe and administer low-risk drugs?,3.256749638159646e-155
What are the risks from a brucella culture within pathology lab?,0.09096589033231978
Compare behavioral testing to OAE or tympanometry in children.,0.11396172217564227
What are the symptoms of sepsis?,0.05088994593902388
What are the outcomes of using hyaluronidase?,4.217870056344802e-155
A mother presents to my clinic wishing to know whether taking the pertussis vaccine during pregnancy will in anyway minimize her unborn child's chances of being hospitalized with pertussis. What is the efficacy of the maternal pertussis vaccine in infant hospitalization?,0.05100291243997761
How will the NHS england directed TA for covid medication and prescribing affect primary care in England?,2.448175229900863e-155
What are the differences between the different birth control devices that actually exist?,0.0517578513946137
How to give the news of the death of a patient to his close relative?,3.1447557089858312e-155
Can you summarize the krebs cycle?,0.20712382326899492
How do I assess competence for decision making in a child in a child who is too young to apply the Mental Capacity Act?,0.04711050173871962
Are there side effects to the use of botox?,0.15829927143452932
What kind of impact does social media have on patients with anorexia?,0.041043554968122675
How do you deal with a patient who is sick but has no pointed symptoms and no health record?,0.06453014907879412
Describes Hodge's blueprints.,9.50943555880892e-79
What is the best way to store my medication to ensure its potency and safety?,0.20409601406997854
"When providing intrapartum care, a midwife can prescribe appropriate pain relief. True or false?",2.1037794765398527e-78
How would you do treat a psychotic crisis?,0.04641791736382413
"A nine year old girl with severe ADHD has already tried all drugs that are allowed for children. None of them was sucessful. There was no benefit from the drugs, but many negative side effects from on just a little dose. What else can I try, if an ADHD patient isn't responding to any drug?",1.1485117719298988e-78
What is the treatment for grade 2 prostate carcinoma?,0.05804525416320789
Is the difference in duties and responsibilities between nurses working in different states justifiable?,0.06870328777434397
What is the prozone error and how does it affect the blood test?,1.4522229027387957e-78
What are the symptoms of a myocardial infarction?,0.04947143276785004
Is one's sphingolipid mileu a factor in psoriasis?,0.05209149238814537
Why do some patients respond to one CGRP antagonist well but not another from the same medication class?,3.711340381105889e-155
What is the difference between the migraine CGRP antagonists? ,0.05605728245792846
"If I have a patient who has chronic migraine and has failed all the available prophylactics' medications, what do I do?",1.5714913353367524e-78
What are the symptoms of an abdominal aortic aneurysm?,0.0976467097602014
Do the medicines used for diabetes foot ulcer work?,0.06531356772294876
What is the ICD-10 classification of severe depression without psychotic symptoms?,0.6413865258981679
How many cardiology subspecialties are there?,1.6564692434647314e-78
Can you tell me what is the best way to get an informed consent?,0.053904561952265194
"Gestational diabetes is a complex medical condition which can present in many ways during pregnancies, what makes an individual more likely to develop this in pregnancy?",4.888703827300311e-155
Which symptoms describes an autistic disorder?,5.366024549904543e-155
How would you promote dignity and respect in care?,0.044183106447900224
How do you manage a desmoplastic blue naevus?,0.05754212353237662
Who should a patient be referred to if a bloodwork shows high protein levels in the blood?,0.04106381386204493
What is the best diet for general longevity?,0.0993517484490641
Why is the category of nurses in Italy little recognized unlike doctors?,0.047153472932969
At which gestation is the Nuchal screening offered routinely?,1.3247634383430357e-78
Can an adhesive capsulitis develop from an osteoarthritic shoulder?,0.3615855225145535
Why are left-handed people stronger using their right hand?,0.06219827675966576
Is metamizol superior than other medications in treating osteoarthicular pain?,0.010823694727639659
"I'm a 60 year old patient, with hypertension and obesity. How low should my LDL be?",0.033216494041350554
What is the reliability of ABR testing for testing toxicity?,0.05144447823430686
What is the recommended medication to prescribe for a first episode of psychosis?,0.13599696382114074
"How do you decide who to put in extra care or try to save, if you are under staffed and 3 people walk in with different injuries, a 10 year old with a head injury, 45 year old women bleeding internal and a 70 year old man with a broken hip?",0.09635532294937069
What level of insurance should pharmacists working in prinary care get if they are not prescribers?,6.429706443856685e-79
What is the average salary for a biochemist in NYC?,0.13730349898168204
How would you be sure to provide discretion and adhere to dpi guidelines?,4.8061619988928574e-155
What is the difference between a drug's pharmacokinetics and pharmacodynamics?,0.1455781619985099
"A patient has presented with low mood, insomnia and anhedonia. Upon assessment they disclose other periods of heightened mood, impulsivity and reduced inhibitions.What are the possible diagnoses? ",6.912165587447274e-79
What would be the symptoms for an urinary tract infection?,1.7097872680874517e-78
Should I use the AVUK strategies with my deaf patient?,1.7352694408015344e-78
What are the differences between Acute myeloid leukemia and Chronic myeloid leukemia?,0.14687662536858032
What are the differences between professions about patients returning as volunteers?,0.019208701041173115
How do you tell the difference between adhesive capsulitis and an osteoarthritic shoulder?,0.04024347778702327
Is rorshach test a good IQ measurement?,0.08580385923835032
What is the diagnosis? A patient was presented with the rush and their blood was grossly haemolysed.,0
Can we ever eliminate all mental illness?,0.07963288370985669
Please provide an approach to the management of a convulsing child.,0.04931863183766537
What is the best type of epidemiological study to assess the causal association between a risk factor and a given disease?,3.709050793403425e-155
Is cancer curable?,1.3665670284672863e-78
What criteria would you use to ensure safe discharge of a child with bronchiolitis?,0.020953174859766933
"A 37-year old woman who lives alone has rheumatoid arthritis, affecting her grip. What meaningful activities might this impact and how could they be adapted?",0.027362799485532316
What are the risks of inserting a nasogastric tube during a night shift?,2.3050357116699136e-155
What is the best biological agent for treatment of hidradenitis suppurativa having failed adalimumab?,0.026903695637075682
"An 80-year-old man is admitted for a sudden episode of aphasia and right hemiparesis. As antecedents, hypertension stands out, well controlled with diet and cognitive deterioration in the last year under study by his neurologist. Emergency head CT showed a left frontal lobar hematoma without contrast enhancement. What is the most likely cause of the bruise?",0.0219616543832939
How can you find out if a person has childhood traumas?,0.051021986963533224
Why some bacteria could cause deadly infections in some people while others can recover quickly?,0.11070465625537211
What could be the possible cause of dementia?,1.410794857169377e-78
"Motor symptoms in Parkinson's disease predominate and define this entity. However, the symptoms in other spheres are sometimes very relevant and are called by the general name of ""Non-motor manifestations of Parkinson's disease"". Which of the following is considered a non-motor symptom of Parkinson's disease?",9.594503055152632e-232
What percentage of Pseudomonas aeruginosa strains do not confer natural resistance to kanamycin?,0.30826276460621843
Tell me about the mechanisms of graft versus host disease (GVHD) in bone marrow transplant patients.,0.11040892886866636
Is a microprocessor controlled foot worth it?,0.04930770374513433
What is the most efficient way to handle local falls pathways? ,0.08031837410066837
Can we give paracetamol to a cat?,1.822884096058233e-78
Why do some antibiotic-resistance genes in bacteria also involved in metabolic metabolisms?,0.09393631423375784
What are the potential benefits and risks of using stem cells to treat haematological disorders?,0.11345536293124316
What is the best most varied option for elective placement? ,0.07801678115028542
What is the perfect solution for an unhealthy family life? ,0.04563106490551901
How can I support caring for those experiencing malnutrition in the community? ,0.07362120672475955
Can you please provide a list of appropriate resources showing best practice in treatment of anxiety?,2.1972363347400483e-155
"A 40-year-old woman who consulted for approximately 20 episodes a day of intense, left periocular pain lasting 15 minutes, accompanied by intense tearing and runny nose. His scan and MRI are normal. What treatment of choice would it be?",8.08357360366746e-232
What is the best material for insoles?,0.03613033082964186
Can a diabetic person take medical products with any kind of sucrose?,0.1508903198039707
What should be the first response to an epilectic seizure?,0.11451340235329491
Can low mobility amputeed benefit from a microprocessor controled knee?,0.12637220362576984
Why should we give fludarabine and cytarabine 4 hours apart when giving these chemotherapy drugs to a patient?,1.0768831401001981e-78
Do I need to fast to have a CT scan? And how about a MRI scan?,1.719434432427134e-79
Why do pregnant women often suffer from iron deficiency?,0.1339403243909137
What is the physiopathology of asthma? ,0.1462268810142721
"What processes need to take place after a suspicious death of a patient who is a recovering heroin addict, where suicide is suspected?",0.03732609879175949
Short right hand and short right leg of newborn and having one kidney at the time of birth what will be the root of this problem?,0.059921252075476106
How effective is cognitive behaviour therapy in the treatment of recovering opiate addicts?,0.07651388405590596
Why does the T wave on the EKG is a positive wave if it represents the repolarization of the ventricles?,0.10821786729633959
What are the intervention strategies to recommend for people with hypertension?,0.09375937747849142
A female patient presents in the ER with pain in the leg and trouble breathing. The patient had a 7-hour flight in the previous day. What is the most recommended course of action here?,0.08032412277181668
What would be the best way to address a case of eating behavior disorder in the medical consultation?,0.13651626926841182
"Dates can cure diabetes, then why do they also increase the blood sugar level? ",2.4634975242623204e-78
"Where can a client go for help if they find themselves addicted to crack cocaine, are being physically abused by their dealer and have recently become homeless?",0.02800454572371555
